timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624767652030,6150,CreateAlbm,200,,Spike Test 1-19,text,true,,400767,1454,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767652030,3,CreateAlbm-0,200,,Spike Test 1-19,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767652035,3,CreateAlbm-1,200,,Spike Test 1-19,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,3,0,0
1624767652039,456,CreateAlbm-2,200,OK,Spike Test 1-19,text,true,,32137,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,357,0,234
1624767652576,2119,CreateAlbm-3,200,OK,Spike Test 1-19,text,true,,161455,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,592,0,398
1624767654798,4,CreateAlbm-4,200,,Spike Test 1-19,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,4,0,0
1624767654802,5,CreateAlbm-5,200,,Spike Test 1-19,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,5,0,0
1624767654808,6,CreateAlbm-6,200,,Spike Test 1-19,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,5,0,0
1624767654815,1863,CreateAlbm-7,200,OK,Spike Test 1-19,text,true,,72862,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,1499,0,1007
1624767656679,925,CreateAlbm-8,200,OK,Spike Test 1-19,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,902,0,740
1624767657604,576,CreateAlbm-9,200,OK,Spike Test 1-19,text,true,,61179,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,188,0,0
1624767651884,6330,CreateAlbm,200,,Spike Test 1-20,text,true,,400759,1454,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767652669,5398,CreateAlbm,200,,Spike Test 1-15,text,true,,400743,1454,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651884,3,CreateAlbm-0,200,,Spike Test 1-20,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651231,6832,CreateAlbm,200,,Spike Test 1-24,text,true,,400784,1454,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651889,2,CreateAlbm-1,200,,Spike Test 1-20,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,2,0,0
1624767651231,3,CreateAlbm-0,200,,Spike Test 1-24,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651892,676,CreateAlbm-2,200,OK,Spike Test 1-20,text,true,,32145,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,510,0,384
1624767652576,2075,CreateAlbm-3,200,OK,Spike Test 1-20,text,true,,161455,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,507,0,386
1624767654798,9,CreateAlbm-4,200,,Spike Test 1-20,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,8,0,0
1624767652669,3,CreateAlbm-0,200,,Spike Test 1-15,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767654808,5,CreateAlbm-5,200,,Spike Test 1-20,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,5,0,0
1624767652673,2,CreateAlbm-1,200,,Spike Test 1-15,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,2,0,0
1624767654814,3,CreateAlbm-6,200,,Spike Test 1-20,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,3,0,0
1624767652676,671,CreateAlbm-2,200,OK,Spike Test 1-15,text,true,,32097,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,435,0,289
1624767654818,1779,CreateAlbm-7,200,OK,Spike Test 1-20,text,true,,72838,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,1298,0,925
1624767653350,2012,CreateAlbm-3,200,OK,Spike Test 1-15,text,true,,161471,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,1443,0,1026
1624767656599,1003,CreateAlbm-8,200,OK,Spike Test 1-20,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,928,0,820
1624767655362,2,CreateAlbm-4,200,,Spike Test 1-15,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,2,0,0
1624767657602,612,CreateAlbm-9,200,OK,Spike Test 1-20,text,true,,61187,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,203,0,0
1624767655365,2,CreateAlbm-5,200,,Spike Test 1-15,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,2,0,0
1624767655367,2,CreateAlbm-6,200,,Spike Test 1-15,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,2,0,0
1624767655370,1805,CreateAlbm-7,200,OK,Spike Test 1-15,text,true,,72838,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,1488,0,1243
1624767657177,464,CreateAlbm-8,200,OK,Spike Test 1-15,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,458,0,349
1624767657642,425,CreateAlbm-9,200,OK,Spike Test 1-15,text,true,,61203,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,304,0,0
1624767652835,5550,CreateAlbm,200,,Spike Test 1-14,text,true,,400783,1454,24,24,http://localhost:8082/createalbum.html,4,0,1
1624767652835,4,CreateAlbm-0,200,,Spike Test 1-14,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,4,0,1
1624767652840,3,CreateAlbm-1,200,,Spike Test 1-14,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,2,0,0
1624767652844,937,CreateAlbm-2,200,OK,Spike Test 1-14,text,true,,32145,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,906,0,515
1624767653783,1926,CreateAlbm-3,200,OK,Spike Test 1-14,text,true,,161455,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,1195,0,1016
1624767655710,2,CreateAlbm-4,200,,Spike Test 1-14,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,1,0,0
1624767655712,1,CreateAlbm-5,200,,Spike Test 1-14,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,1,0,0
1624767655714,1,CreateAlbm-6,200,,Spike Test 1-14,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,1,0,0
1624767655716,1703,CreateAlbm-7,200,OK,Spike Test 1-14,text,true,,72862,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,1469,0,1131
1624767657421,569,CreateAlbm-8,200,OK,Spike Test 1-14,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,527,0,213
1624767657990,395,CreateAlbm-9,200,OK,Spike Test 1-14,text,true,,61187,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,347,0,0
1624767651259,1,CreateAlbm-1,200,,Spike Test 1-24,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,1,0,0
1624767651486,1071,CreateAlbm-2,200,OK,Spike Test 1-24,text,true,,32145,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,916,0,789
1624767652576,2077,CreateAlbm-3,200,OK,Spike Test 1-24,text,true,,161455,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,539,0,394
1624767654798,8,CreateAlbm-4,200,,Spike Test 1-24,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,8,0,0
1624767654807,2,CreateAlbm-5,200,,Spike Test 1-24,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,2,0,0
1624767654810,1,CreateAlbm-6,200,,Spike Test 1-24,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,1,0,0
1624767654813,1814,CreateAlbm-7,200,OK,Spike Test 1-24,text,true,,72862,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,1410,0,954
1624767656628,970,CreateAlbm-8,200,OK,Spike Test 1-24,text,true,,22194,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,872,0,783
1624767657598,465,CreateAlbm-9,200,OK,Spike Test 1-24,text,true,,61187,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,96,0,0
1624767651722,6492,CreateAlbm,200,,Spike Test 1-21,text,true,,400719,1454,24,24,http://localhost:8082/createalbum.html,5,0,2
1624767651722,5,CreateAlbm-0,200,,Spike Test 1-21,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,5,0,2
1624767651553,6627,CreateAlbm,200,,Spike Test 1-22,text,true,,400736,1454,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651553,3,CreateAlbm-0,200,,Spike Test 1-22,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,1
1624767651560,3,CreateAlbm-1,200,,Spike Test 1-22,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,3,0,0
1624767651564,1005,CreateAlbm-2,200,OK,Spike Test 1-22,text,true,,32137,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,833,0,712
1624767652576,2038,CreateAlbm-3,200,OK,Spike Test 1-22,text,true,,161447,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,500,0,362
1624767654798,6,CreateAlbm-4,200,,Spike Test 1-22,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,6,0,0
1624767652381,5956,CreateAlbm,200,,Spike Test 1-17,text,true,,400719,1454,24,24,http://localhost:8082/createalbum.html,3,0,2
1624767654804,6,CreateAlbm-5,200,,Spike Test 1-22,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,6,0,0
1624767651181,6999,CreateAlbm,200,,Spike Test 1-25,text,true,,400816,1454,24,24,http://localhost:8082/createalbum.html,33,0,23
1624767654811,4,CreateAlbm-6,200,,Spike Test 1-22,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,4,0,0
1624767652381,3,CreateAlbm-0,200,,Spike Test 1-17,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,3,0,2
1624767651181,36,CreateAlbm-0,200,,Spike Test 1-25,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,33,0,23
