timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624763960578,6918,CreateAlbm,200,,Spike Test 1-13,text,true,,400759,1454,24,24,http://localhost:8082/createalbum.html,6,0,1
1624763960423,6931,CreateAlbm,200,,Spike Test 1-14,text,true,,400761,1454,24,24,http://localhost:8082/createalbum.html,7,0,2
1624763960578,6,CreateAlbm-0,200,,Spike Test 1-13,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,6,0,1
1624763960423,7,CreateAlbm-0,200,,Spike Test 1-14,text,true,,4825,132,24,24,http://localhost:8082/createalbum.html,7,0,2
1624763960585,6,CreateAlbm-1,200,,Spike Test 1-13,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,6,0,0
1624763960431,8,CreateAlbm-1,200,,Spike Test 1-14,text,true,,1567,130,24,24,http://localhost:8082/css/tracks.css,8,0,0
1624763960593,726,CreateAlbm-2,200,OK,Spike Test 1-13,text,true,,32137,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,651,0,244
1624763960441,422,CreateAlbm-2,200,OK,Spike Test 1-14,text,true,,32145,168,24,24,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,365,0,240
1624763961321,2104,CreateAlbm-3,200,OK,Spike Test 1-13,text,true,,161447,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,1303,0,975
1624763960864,2273,CreateAlbm-3,200,OK,Spike Test 1-14,text,true,,161456,165,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,1498,0,1074
1624763963425,3,CreateAlbm-4,200,,Spike Test 1-13,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,3,0,0
1624763963137,3,CreateAlbm-4,200,,Spike Test 1-14,bin,true,,38483,133,24,24,http://localhost:8082/img/choonzimg.png,3,0,0
1624763963428,3,CreateAlbm-5,200,,Spike Test 1-13,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,3,0,0
1624763963140,4,CreateAlbm-5,200,,Spike Test 1-14,text,true,,1245,128,24,24,http://localhost:8082/js/mutual.js,4,0,0
1624763963431,3,CreateAlbm-6,200,,Spike Test 1-13,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,3,0,0
1624763963144,4,CreateAlbm-6,200,,Spike Test 1-14,text,true,,4821,133,24,24,http://localhost:8082/js/createalbum.js,4,0,0
1624763963435,3075,CreateAlbm-7,200,OK,Spike Test 1-13,text,true,,72862,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,2403,0,1583
1624763963149,2892,CreateAlbm-7,200,OK,Spike Test 1-14,text,true,,72838,141,24,24,https://code.jquery.com/jquery-3.5.1.slim.min.js,2019,0,1312
1624763966041,1007,CreateAlbm-8,200,OK,Spike Test 1-14,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,991,0,884
1624763966510,626,CreateAlbm-8,200,OK,Spike Test 1-13,text,true,,22193,161,24,24,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,532,0,427
1624763967048,305,CreateAlbm-9,200,OK,Spike Test 1-14,text,true,,61188,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,272,0,0
1624763967136,359,CreateAlbm-9,200,OK,Spike Test 1-13,text,true,,61179,163,24,24,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,203,0,0
1624763960253,7965,CreateAlbm,200,,Spike Test 1-15,text,true,,400726,1454,22,22,http://localhost:8082/createalbum.html,5,0,0
1624763960253,5,CreateAlbm-0,200,,Spike Test 1-15,text,true,,4825,132,22,22,http://localhost:8082/createalbum.html,5,0,0
1624763960259,3,CreateAlbm-1,200,,Spike Test 1-15,text,true,,1567,130,22,22,http://localhost:8082/css/tracks.css,3,0,0
1624763960263,571,CreateAlbm-2,200,OK,Spike Test 1-15,text,true,,32097,168,22,22,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,479,0,379
1624763960836,2154,CreateAlbm-3,200,OK,Spike Test 1-15,text,true,,161454,165,22,22,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css,1396,0,982
1624763962991,2,CreateAlbm-4,200,,Spike Test 1-15,bin,true,,38483,133,22,22,http://localhost:8082/img/choonzimg.png,2,0,0
1624763962994,3,CreateAlbm-5,200,,Spike Test 1-15,text,true,,1245,128,22,22,http://localhost:8082/js/mutual.js,2,0,0
1624763962997,2,CreateAlbm-6,200,,Spike Test 1-15,text,true,,4821,133,22,22,http://localhost:8082/js/createalbum.js,2,0,0
1624763963000,3505,CreateAlbm-7,200,OK,Spike Test 1-15,text,true,,72862,141,22,22,https://code.jquery.com/jquery-3.5.1.slim.min.js,2995,0,1223
1624763966506,737,CreateAlbm-8,200,OK,Spike Test 1-15,text,true,,22193,161,22,22,https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js,650,0,454
1624763967243,974,CreateAlbm-9,200,OK,Spike Test 1-15,text,true,,61179,163,22,22,https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js,387,0,0
1624763958763,9499,CreateAlbm,200,,Spike Test 1-25,text,true,,400689,1454,22,22,http://localhost:8082/createalbum.html,34,0,21
1624763958763,37,CreateAlbm-0,200,,Spike Test 1-25,text,true,,4825,132,22,22,http://localhost:8082/createalbum.html,34,0,21
1624763958841,8,CreateAlbm-1,200,,Spike Test 1-25,text,true,,1567,130,22,22,http://localhost:8082/css/tracks.css,8,0,0
1624763959215,1248,CreateAlbm-2,200,OK,Spike Test 1-25,text,true,,32089,168,22,22,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,1042,0,872
